"location";"ro_short_code"
"Andaman and Nicobar";"an"
"Andhra Pradesh";"ad"
"Arunachal Pradesh";"ar"
"Assam";"as"
"Bihar";"br"
"Chhattisgarh";"ch"
"Goa";"ga"
"Gujarat";"gj"
"Haryana";"hr"
"Himachal Pradesh";"hp"
"Jammu and Kashmir";"jk"
"Jharkhand";"jh"
"Karnataka";"ka"
"Kerala";"kl"
"Madhya Pradesh";"mp"
"Maharashtra";"mh"
"Manipur";"mn"
"Meghalaya";"ml"
"Mizoram";"mz"
"Nagaland";"nl"
"New Delhi";"dl"
"Odisha";"or"
"Punjab";"pn"
"Rajasthan";"rj"
"Sikkim";"sk"
"Tamilnadu";"tn"
"Telangana";"tg"
"Tripura";"tr"
"Uttarakhand";"uk"
"Uttar Pradesh";"up"
"West Bengal";"wb"
